Year,Month,Day,Open,High,Low,Close,Volumn,Return,RSI,CDMA
2019,4,11,15.225,15.255,14.899,14.960,23195,0.98162730,37.25463004,-0.08905233
2019,4,10,15.219,15.297,15.152,15.240,22378,1.00105097,47.28003100,-0.07394680
2019,4,9,15.241,15.344,15.214,15.224,18751,0.99836055,46.51633606,-0.08210015
2019,4,8,15.130,15.303,15.120,15.249,17772,1.00933280,47.51497998,-0.08968352
2019,4,5,15.131,15.214,15.073,15.108,25876,0.99735939,40.86631366,-0.10060362
2019,4,4,15.126,15.182,14.903,15.148,23643,1.00092507,42.27709768,-0.09872195
2019,4,3,15.109,15.197,15.042,15.134,24570,1.00072737,41.62211962,-0.09895703
2019,4,2,15.112,15.124,14.943,15.123,22518,1.00099285,41.13479629,-0.09639225
2019,4,1,15.152,15.219,15.060,15.108,27368,0.99795231,40.50593272,-0.09059658
2019,3,29,15.020,15.206,14.988,15.139,30831,1.00839273,41.35374237,-0.08035416
2019,3,28,15.294,15.337,14.978,15.013,35452,0.98156260,36.32357346,-0.06926869
2019,3,27,15.425,15.482,15.267,15.295,31737,0.99131506,44.20285160,-0.04128295
2019,3,26,15.537,15.559,15.395,15.429,25398,0.99279326,48.88141645,-0.03367523
2019,3,25,15.407,15.586,15.391,15.541,25369,1.00647626,53.25624951,-0.03711882
2019,3,22,15.473,15.550,15.366,15.441,32995,0.99806089,49.50977946,-0.05237782
2019,3,21,15.470,15.638,15.381,15.471,33014,0.99967692,50.64044137,-0.06091018
2019,3,20,15.366,15.560,15.274,15.476,28370,1.00683105,50.82005570,-0.07396915
2019,3,19,15.350,15.448,15.320,15.371,19335,1.00143332,47.16585147,-0.09007032
2019,3,18,15.314,15.426,15.226,15.349,20538,1.00359618,46.39086832,-0.09862025
2019,3,15,15.186,15.393,15.172,15.294,23279,1.00664780,44.50106091,-0.10585859
2019,3,14,15.443,15.465,15.139,15.193,25530,0.98323842,40.95161292,-0.10795759
2019,3,13,15.431,15.538,15.426,15.452,21244,1.00077720,48.30848610,-0.09878273
2019,3,12,15.312,15.478,15.303,15.440,22843,1.00796449,47.90585439,-0.11200636
2019,3,11,15.318,15.356,15.216,15.318,20736,0.99856584,43.77117711,-0.12603351
2019,3,8,15.022,15.372,15.010,15.340,29431,1.02089711,44.36073932,-0.12968222
2019,3,7,15.086,15.123,14.981,15.026,25272,0.99674959,32.27027396,-0.13469302
2019,3,6,15.131,15.160,15.049,15.075,24553,0.99636484,33.31943222,-0.10715854
2019,3,5,15.088,15.168,15.049,15.130,27413,1.00271721,34.48809577,-0.07544495
