Year,Month,Day,Open,High,Low,Close,Volumn,Return,RSI,CDMA
2019,4,8,1.12155,1.12560,1.12100,1.12463,34089,1.00271938,47.25546832,-0.00345587
2019,4,5,1.12153,1.12392,1.12137,1.12158,33016,1.00010700,40.59053109,-0.00396247
2019,4,4,1.12019,1.12245,1.11995,1.12146,38407,1.00111586,40.31499367,-0.00424089
2019,4,3,1.11746,1.12157,1.11744,1.12021,42169,1.00248785,37.51170596,-0.00452235
2019,4,2,1.11910,1.12022,1.11626,1.11743,41627,0.99849881,30.79956014,-0.00468854
2019,4,1,1.11715,1.12032,1.11665,1.11911,49832,1.00273283,32.77510361,-0.00454941
2019,3,29,1.11676,1.12001,1.11604,1.11606,54138,0.99936424,24.62474443,-0.00447671
2019,3,28,1.11844,1.12134,1.11638,1.11677,54405,0.99843543,25.28745759,-0.00400826
2019,3,27,1.12056,1.12189,1.11719,1.11852,62873,0.99809932,26.94728895,-0.00342434
2019,3,26,1.12267,1.12463,1.11988,1.12065,46163,0.99824518,29.10655670,-0.00280741
2019,3,25,1.12242,1.12561,1.12202,1.12262,43067,1.00064177,31.25759913,-0.00219602
2019,3,22,1.12795,1.12977,1.12113,1.12190,81303,0.99461865,29.48913701,-0.00158431
2019,3,21,1.13206,1.13333,1.12652,1.12797,57403,0.99631671,36.92567971,-0.00070720
2019,3,20,1.13420,1.13501,1.13173,1.13214,54808,0.99831577,44.00465339,-0.00019542
2019,3,19,1.13486,1.13584,1.13364,1.13405,30662,0.99933909,47.91118498,0.00003604
2019,3,18,1.13462,1.13648,1.13377,1.13480,31905,1.00032615,49.51392585,0.00013648
2019,3,15,1.13466,1.13723,1.13428,1.13443,37940,0.99962110,48.72821893,0.00018633
2019,3,14,1.13690,1.13747,1.13421,1.13486,51185,0.99828467,49.56057151,0.00028492
2019,3,13,1.13727,1.13797,1.13541,1.13681,46538,0.99950764,53.40174303,0.00036283
2019,3,12,1.13631,1.13844,1.13465,1.13737,53929,1.00073909,54.52873693,0.00025845
2019,3,11,1.13211,1.13707,1.13145,1.13653,44815,1.00379781,53.15163154,0.00006444
2019,3,8,1.13200,1.13331,1.13073,1.13223,90534,1.00017667,45.27330731,-0.00009860
2019,3,7,1.13595,1.13665,1.13132,1.13203,96957,0.99625096,44.87291915,0.00013256
2019,3,6,1.13534,1.13688,1.13446,1.13629,69117,1.00060761,52.46470980,0.00044604
2019,3,5,1.13260,1.13580,1.13135,1.13560,69788,1.00241866,51.22355822,0.00040592
2019,3,4,1.13540,1.13655,1.13156,1.13286,72909,0.99800023,46.02718238,0.00041907
2019,3,1,1.13445,1.13700,1.13357,1.13513,86552,1.00055531,50.13614292,0.00070873
2019,2,28,1.13835,1.13869,1.13288,1.13450,96462,0.99667920,48.96194389,0.00083701
2019,2,27,1.13702,1.13926,1.13513,1.13828,84965,0.99946439,56.35560476,0.00105271
2019,2,26,1.13634,1.13896,1.13504,1.13889,79271,1.00243812,57.66036777,0.00092783
2019,2,25,1.13240,1.13680,1.13240,1.13612,73477,1.00227606,53.07979635,0.00069285
2019,2,22,1.13414,1.13538,1.13293,1.13354,79661,0.99892488,48.23637178,0.00066487
2019,2,21,1.13460,1.13679,1.13390,1.13476,97713,1.00004406,50.52654148,0.00088219
2019,2,20,1.13500,1.13656,1.13349,1.13471,83513,0.99946271,50.43698930,0.00102252
2019,2,19,1.13570,1.13729,1.13325,1.13532,82296,0.99963900,51.49289810,0.00119184
2019,2,18,1.13371,1.13649,1.13347,1.13573,26727,1.00081071,52.17461785,0.00132852
2019,2,15,1.13463,1.13578,1.13312,1.13481,42574,0.99969167,50.81791492,0.00144190
2019,2,14,1.13614,1.13816,1.13487,1.13516,47348,0.99889125,51.33232897,0.00165931
2019,2,13,1.13963,1.14056,1.13608,1.13642,38690,0.99703457,53.13018589,0.00187703
2019,2,12,1.13191,1.14062,1.13159,1.13980,34374,1.00685488,58.20840362,0.00199934
2019,2,11,1.13131,1.14184,1.13098,1.13204,36473,0.99980570,47.51346727,0.00178221
2019,2,8,1.13617,1.13690,1.13217,1.13226,30718,0.99626925,47.83573586,0.00226927
2019,2,7,1.13871,1.13943,1.13447,1.13650,40001,0.99789270,54.44438757,0.00283552
2019,2,6,1.14029,1.14064,1.13855,1.13890,37079,0.99875474,58.70737200,0.00308531
2019,2,5,1.14102,1.14431,1.14017,1.14032,38891,0.99934272,61.34638814,0.00311490
2019,2,4,1.13722,1.14225,1.13722,1.14107,39605,1.00087714,62.72934423,0.00296277
2019,2,1,1.13778,1.14116,1.13723,1.14007,54080,1.00168695,61.65921952,0.00264914
2019,1,31,1.14113,1.14281,1.13715,1.13815,60212,0.99733611,59.59067184,0.00231212
2019,1,30,1.13660,1.14279,1.13650,1.14119,60115,1.00349097,64.72475210,0.00204382
2019,1,29,1.13323,1.13777,1.13290,1.13722,111907,1.00351205,60.60937662,0.00136211
2019,1,28,1.13230,1.13451,1.13095,1.13324,88511,1.00062691,55.81016806,0.00087642
2019,1,25,1.12590,1.13358,1.12588,1.13253,116116,1.00588862,54.89995227,0.00064898
2019,1,24,1.13182,1.13255,1.12589,1.12590,119259,0.99456738,45.09338036,0.00042153
2019,1,23,1.13239,1.13461,1.13191,1.13205,95493,0.99931146,55.48527876,0.00080016
2019,1,22,1.13300,1.13427,1.13161,1.13283,87292,0.99967349,57.03318456,0.00064560
2019,1,21,1.12990,1.13464,1.12980,1.13320,66104,1.00172376,57.74274040,0.00035952
2019,1,18,1.13185,1.13371,1.13001,1.13125,89945,0.99935511,55.00312555,-0.00004853
2019,1,17,1.12831,1.13308,1.12762,1.13198,101224,1.00331490,56.27129909,-0.00037009
2019,1,16,1.12727,1.12957,1.12588,1.12824,95524,1.00110027,50.88389853,-0.00084947
2019,1,15,1.12455,1.12892,1.12438,1.12700,121321,1.00170655,48.94749833,-0.00106818
2019,1,14,1.12779,1.12869,1.12456,1.12508,94594,0.99727873,45.87970389,-0.00120553
2019,1,11,1.13161,1.13395,1.12717,1.12815,116696,0.99632609,50.37407324,-0.00116782
2019,1,10,1.12452,1.13238,1.12371,1.13231,129550,1.00675730,57.45604432,-0.00141528
2019,1,9,1.12249,1.12648,1.12087,1.12471,129362,1.00171003,44.13160866,-0.00213411
2019,1,8,1.12398,1.12450,1.12187,1.12279,101303,0.99900348,39.70143350,-0.00224674
2019,1,7,1.12283,1.12593,1.12236,1.12391,101026,0.99974204,41.48323559,-0.00216232
2019,1,4,1.12307,1.12687,1.12300,1.12420,126533,0.99995553,41.93575060,-0.00213716
2019,1,3,1.12304,1.12774,1.11715,1.12425,155840,1.00097048,42.00911599,-0.00210348
2019,1,2,1.12400,1.12703,1.12165,1.12316,117809,0.99872843,39.88000879,-0.00203500
2018,12,31,1.12370,1.12861,1.12370,1.12459,95683,0.99905832,41.74720546,-0.00180700
2018,12,28,1.12895,1.12978,1.12142,1.12565,134854,0.99690032,43.13739455,-0.00163531
2018,12,27,1.12953,1.13116,1.12402,1.12915,150627,0.99900909,48.04251525,-0.00150031
2018,12,26,1.12607,1.13076,1.12393,1.13027,66254,1.00486309,49.72253483,-0.00166255
2018,12,25,1.12470,1.12493,1.12466,1.12480,9,0.99983111,40.24624256,-0.00195947
2018,12,24,1.13051,1.13440,1.12470,1.12499,93377,0.99444872,40.49240412,-0.00175301
2018,12,21,1.12993,1.13234,1.12899,1.13127,134608,1.00048642,49.85045421,-0.00148333
2018,12,20,1.13140,1.13487,1.12972,1.13072,143510,0.99895751,48.88986615,-0.00175697
2018,12,19,1.12730,1.13439,1.12722,1.13190,122455,1.00312841,50.82950417,-0.00202468
2018,12,18,1.12655,1.12965,1.12596,1.12837,103016,1.00125115,44.73938851,-0.00245706
2018,12,17,1.12710,1.12907,1.12475,1.12696,78401,0.99878582,42.07853982,-0.00261379
2018,12,14,1.12815,1.12938,1.12407,1.12833,72273,0.99953935,43.98958580,-0.00263225
2018,12,13,1.12914,1.13015,1.12654,1.12885,69719,0.99970775,44.70517934,-0.00275701
2018,12,12,1.12385,1.12942,1.12341,1.12918,69134,1.00462642,45.13787602,-0.00292909
2018,12,11,1.12365,1.12571,1.12242,1.12398,81254,0.99972427,36.08629504,-0.00313973
2018,12,10,1.12819,1.13072,1.12355,1.12429,80200,0.99629587,36.41891823,-0.00283345
2018,12,7,1.12960,1.13096,1.12828,1.12847,114515,0.99887585,41.17035252,-0.00243288
2018,12,6,1.13140,1.13210,1.12801,1.12974,135820,0.99838278,42.74365452,-0.00231182
2018,12,5,1.13100,1.13362,1.13025,1.13157,80579,1.00037130,45.04698313,-0.00225299
2018,12,4,1.13270,1.13478,1.13052,1.13115,125963,0.99826144,44.40856434,-0.00233145
2018,12,3,1.13325,1.13452,1.13038,1.13312,99446,1.00263684,46.77537577,-0.00235493
2018,11,30,1.13399,1.13559,1.12949,1.13014,101239,0.99603398,42.46843964,-0.00255122
2018,11,29,1.12937,1.13482,1.12887,1.13464,111279,1.00471080,47.90392729,-0.00246123
2018,11,28,1.12750,1.13159,1.12601,1.12932,111805,1.00145431,39.38769625,-0.00276875
2018,11,27,1.13070,1.13241,1.12749,1.12768,111564,0.99688826,36.41216856,-0.00257931
2018,11,26,1.13015,1.13413,1.12980,1.13120,85390,1.00076969,40.36110744,-0.00213303
2018,11,23,1.13381,1.13538,1.12961,1.13033,82701,0.99655276,38.83880215,-0.00189077
2018,11,22,1.13176,1.13567,1.13157,1.13424,72639,1.00186374,43.46929960,-0.00146549
2018,11,21,1.13111,1.13460,1.13066,1.13213,87107,1.00082214,39.87743166,-0.00129946
2018,11,20,1.13742,1.13820,1.13048,1.13120,103266,0.99405081,38.27221940,-0.00085382
2018,11,19,1.14100,1.14173,1.13697,1.13797,96676,0.99702986,46.70046503,-0.00017790
2018,11,16,1.13956,1.14332,1.13793,1.14136,116166,1.00086814,52.02787298,-0.00000190
2018,11,15,1.13734,1.14198,1.13438,1.14037,143980,1.00249664,50.49649822,-0.00012241
