Year,Month,Day,Open,High,Low,Close,Volumn,Return,RSI,CDMA
2019,4,3,75.191,75.803,75.042,75.525,68536,1.00442866,48.13002038,-0.08327892
2019,4,2,75.566,75.722,74.997,75.192,72393,0.99511653,44.12624062,-0.08170715
2019,4,1,75.612,75.954,75.453,75.561,72745,1.00335954,47.93329267,-0.04460708
2019,3,29,74.963,75.554,74.931,75.308,90695,1.00446828,44.90709693,-0.03417597
2019,3,28,75.083,75.282,74.734,74.973,101901,0.99842857,40.66703127,0.00539501
2019,3,27,76.350,76.427,74.892,75.091,108361,0.98369053,41.71716406,0.08993260
2019,3,26,75.978,76.489,75.923,76.336,84675,1.00393230,55.84556883,0.18451064
2019,3,25,75.727,76.160,75.437,76.037,100501,1.00729937,52.23832900,0.17577919
2019,3,22,76.249,76.398,75.480,75.486,114020,0.98994138,44.47630855,0.19252153
2019,3,21,76.522,76.775,75.902,76.253,90158,0.99801060,56.30377986,0.26719235
2019,3,20,76.319,76.643,75.895,76.405,73044,1.00078591,59.20081943,0.28051849
2019,3,19,76.323,76.559,76.098,76.345,51425,1.00034068,58.41655905,0.27797086
2019,3,18,76.305,76.657,76.244,76.319,52905,1.00103620,58.09241437,0.27678503
2019,3,15,76.299,76.586,76.240,76.240,59900,0.99942321,57.15000786,0.27389279
2019,3,14,76.274,76.457,75.956,76.284,75692,1.00036718,57.82249403,0.27426098
2019,3,13,76.374,76.394,75.988,76.256,57487,0.99849419,57.52716990,0.26626168
2019,3,12,75.983,76.494,75.962,76.371,59275,1.00538427,59.10551203,0.25502967
2019,3,11,75.472,76.023,75.312,75.962,66835,1.00423045,55.03093243,0.22527494
2019,3,8,75.320,75.693,75.010,75.642,103254,1.00356892,51.52174124,0.22566398
2019,3,7,75.619,75.842,75.232,75.373,91545,0.99648330,48.37723833,0.25545997
2019,3,6,75.983,76.083,75.487,75.639,93318,0.99470030,51.44103065,0.31716381
2019,3,5,76.150,76.303,75.805,76.042,88989,0.99718059,56.47248931,0.36422341
2019,3,4,76.282,76.422,75.936,76.257,93169,1.00233967,59.34816755,0.37795805
2019,3,1,75.800,76.490,75.787,76.079,91105,1.00303234,57.69192680,0.36809997
2019,2,28,75.913,76.029,75.662,75.849,100774,0.99836784,55.51744270,0.36828692
2019,2,27,76.103,76.292,75.711,75.973,90267,0.99691633,56.98363975,0.38658683
2019,2,26,76.425,76.496,76.102,76.208,88904,0.99712147,59.76106721,0.39169563
2019,2,25,75.906,76.542,75.828,76.428,92373,1.00889722,62.40520123,0.36859165
2019,2,22,75.252,75.815,74.827,75.754,93018,1.00617620,56.99181853,0.31134123
2019,2,21,75.971,76.137,75.278,75.289,110869,0.99072295,52.62130539,0.30236574
2019,2,20,76.111,76.310,75.894,75.994,89660,0.99847589,61.40640060,0.33385716
2019,2,19,75.700,76.154,75.405,76.110,84029,1.00455355,63.01372751,0.29741374
2019,2,18,75.692,76.202,75.620,75.765,51379,0.99930096,60.13172438,0.23476175
2019,2,15,75.486,75.902,75.111,75.818,75058,1.00360046,60.80762685,0.18650759
2019,2,14,75.383,76.005,75.370,75.546,80338,1.00176362,58.58943083,0.11680853
2019,2,13,74.371,75.799,74.345,75.413,67021,1.01343851,57.49720123,0.05384270
2019,2,12,74.275,74.486,74.182,74.413,64416,1.00165567,47.90380393,-0.01376595
2019,2,11,73.937,74.467,73.937,74.290,65176,1.00391892,46.52524891,0.00195925
2019,2,8,74.078,74.268,73.822,74.000,65911,0.99830019,43.23678342,0.03452546
2019,2,7,74.482,74.523,74.081,74.126,71804,0.99475288,44.33679349,0.10511686
2019,2,6,75.812,75.914,74.387,74.517,73101,0.98319062,47.84426979,0.18085911
2019,2,5,75.634,75.881,75.528,75.791,85786,1.00191682,62.89941992,0.23509216
2019,2,4,75.505,75.753,75.433,75.646,60803,1.00245160,61.62316264,0.17117738
2019,2,1,75.255,75.720,75.044,75.461,86364,1.00209819,59.99268057,0.10187266
2019,1,31,75.099,75.531,74.909,75.303,88411,1.00140963,58.59768726,0.03076921
2019,1,30,74.719,75.284,74.538,75.197,94145,1.00654548,57.67838355,-0.04434493
2019,1,29,74.642,75.002,74.444,74.708,99903,1.00046871,53.22979777,-0.12878013
2019,1,28,74.779,75.168,74.576,74.673,96463,0.99715568,52.90075819,-0.18488790
2019,1,25,74.112,75.163,73.950,74.886,104177,1.01075733,55.09097037,-0.25024891
2019,1,24,74.333,74.568,74.070,74.089,100109,0.99626178,47.54520043,-0.35172060
2019,1,23,73.812,74.605,73.726,74.367,107948,1.00903651,50.28160836,-0.39497036
