,Day,Return
320,20,0.98781878
321,19,0.99988
322,16,0.98808395
323,15,1.00089005
324,14,1.01689495
325,13,1.00120824
326,12,1.0127256
327,9,0.99549303
328,8,1.00250336
329,7,0.98313224
330,6,0.99539914
331,5,1.0080106
332,2,0.96360998
333,1,0.99394289
334,31,1.01190824
335,30,0.99825185
336,29,0.98569787
337,26,1.00606761
338,25,0.98564675
339,24,1.02991729
340,23,1.00193958
341,22,0.9992952
342,19,1.00460231
343,18,0.99688254
344,17,0.98866015
345,16,0.99100968
346,15,1.00649652
347,12,1.014416
348,11,1.00159123
349,10,0.99982323
350,9,0.99031336
351,8,0.99535343
352,5,0.99947753
353,4,1.00531077
354,3,0.99680047
355,2,1.01469807
356,29,1.00540059
357,28,1.01001019
358,27,1.00797535
359,26,1.01062466
360,22,1.01518721
361,21,0.997095
362,20,1.00229216
363,19,1.0
364,18,1.00585743
365,15,1.00937166
366,14,0.98917439
367,13,1.02219537
368,12,1.00070006
369,11,0.99141902
370,8,1.00846271
371,7,0.9845884
372,6,0.99124387
373,5,0.98597845
374,4,0.99324941
375,1,1.00030417
376,30,0.99419378
377,29,0.98089701
378,28,0.98838982
379,27,1.00088033
380,24,0.99649102
381,23,0.99702624
382,22,1.01078564
383,21,1.00277778
384,20,0.97758262
385,17,1.01328962
386,16,1.0051786
387,15,0.99812041
388,14,0.99847516
389,13,1.00893491
390,10,0.99429311
391,9,0.99747653
392,8,1.00536905
393,7,0.98386254
394,6,1.02273807
395,3,0.98399346
396,2,0.9991245
397,1,1.02463967
398,31,0.99204984
399,30,0.99976274
400,27,1.00404979
401,26,0.99015214
402,25,1.00041295
403,24,0.99180855
404,23,1.00299296
405,20,0.98725377
406,19,1.01511498
407,18,0.99794577
408,17,0.98891404
409,16,0.98983109
410,13,1.00974591
411,12,1.00390193
412,11,1.00315476
413,10,1.00925708
414,9,1.00814361
415,6,1.01325062
416,5,1.00042179
417,4,0.99759558
418,3,1.0028332
419,2,0.99615685
420,29,0.98666904
