,Year,Month,Day,Open,High,Low,Close,Volumn,Return,RSI,CDMA,isOutlier
0,2019,5,16,14.8,14.824,14.527,14.572,19773,0.98492734,33.87643494,-0.10346194,FALSE
1,2019,5,15,14.801,14.857,14.765,14.795,20048,0.99966216,42.46514334,-0.08936815,FALSE
2,2019,5,14,14.765,14.859,14.741,14.8,20886,1.00189548,42.69048512,-0.09278491,FALSE
3,2019,5,13,14.794,14.812,14.621,14.772,23544,0.99959399,41.06421944,-0.09630542,FALSE
4,2019,5,10,14.767,14.846,14.739,14.778,25800,1.00115168,41.29740198,-0.09654717,FALSE
5,2019,5,9,14.841,14.867,14.7,14.761,24705,0.99440852,40.40709454,-0.09606231,FALSE
6,2019,5,8,14.913,14.973,14.828,14.844,23992,0.99517297,43.39057041,-0.09231528,FALSE
7,2019,5,7,14.887,14.944,14.801,14.916,25703,1.00046952,46.13441591,-0.09464084,FALSE
8,2019,5,6,14.952,14.974,14.762,14.909,27192,0.99886105,45.82514225,-0.10356342,FALSE
9,2019,5,3,14.633,14.978,14.598,14.926,24689,1.02009295,46.42626267,-0.11273277,FALSE
10,2019,5,2,14.67,14.729,14.572,14.632,25186,0.99747767,32.12888579,-0.12452735,FALSE
11,2019,5,1,14.941,14.962,14.606,14.669,27714,0.98054813,33.16314609,-0.10783568,FALSE
12,2019,4,30,14.913,15.015,14.82,14.96,23435,1.00214362,43.35582144,-0.08872979,FALSE
13,2019,4,29,15.075,15.08,14.885,14.928,18073,0.99176189,41.5205162,-0.0926822,FALSE
14,2019,4,26,14.94,15.084,14.927,15.052,23406,1.00702482,46.99997508,-0.09312063,FALSE
15,2019,4,25,14.95,15.018,14.865,14.947,23409,0.99959874,40.8635867,-0.10495119,FALSE
16,2019,4,24,14.839,14.991,14.791,14.953,22915,1.0087021,41.11618291,-0.10783383,FALSE
17,2019,4,23,15.015,15.039,14.754,14.824,20830,0.9871479,32.8264091,-0.11055553,FALSE
18,2019,4,22,15.007,15.081,14.996,15.017,13462,1.00073304,40.80766844,-0.09928679,FALSE
19,2019,4,19,15.006,15.006,15.006,15.006,1,1.0004,40.03607453,-0.10311051,FALSE
20,2019,4,18,14.986,15.033,14.937,15,19981,1.00066711,39.63754166,-0.10537119,FALSE
21,2019,4,17,14.997,15.101,14.928,14.99,22302,0.99893376,39.01021279,-0.10611305,FALSE
22,2019,4,16,14.902,15.025,14.884,15.006,24619,1.00086707,39.62199951,-0.10449829,FALSE
23,2019,4,15,14.991,15.039,14.855,14.993,22542,1,38.89904931,-0.10254639,FALSE
24,2019,4,12,14.973,15.118,14.957,14.993,21436,1.00220588,38.89904931,-0.09723983,FALSE
25,2019,4,11,15.225,15.255,14.899,14.96,23195,0.9816273,37.25463004,-0.08905233,FALSE
26,2019,4,10,15.219,15.297,15.152,15.24,22378,1.00105097,47.280031,-0.0739468,FALSE
27,2019,4,9,15.241,15.344,15.214,15.224,18751,0.99836055,46.51633606,-0.08210015,FALSE
28,2019,4,8,15.13,15.303,15.12,15.249,17772,1.0093328,47.51497998,-0.08968352,FALSE
29,2019,4,5,15.131,15.214,15.073,15.108,25876,0.99735939,40.86631366,-0.10060362,FALSE
30,2019,4,4,15.126,15.182,14.903,15.148,23643,1.00092507,42.27709768,-0.09872195,FALSE
31,2019,4,3,15.109,15.197,15.042,15.134,24570,1.00072737,41.62211962,-0.09895703,FALSE
32,2019,4,2,15.112,15.124,14.943,15.123,22518,1.00099285,41.13479629,-0.09639225,FALSE
33,2019,4,1,15.152,15.219,15.06,15.108,27368,0.99795231,40.50593272,-0.09059658,FALSE
34,2019,3,29,15.02,15.206,14.988,15.139,30831,1.00839273,41.35374237,-0.08035416,FALSE
35,2019,3,28,15.294,15.337,14.978,15.013,35452,0.9815626,36.32357346,-0.06926869,FALSE
36,2019,3,27,15.425,15.482,15.267,15.295,31737,0.99131506,44.2028516,-0.04128295,FALSE
37,2019,3,26,15.537,15.559,15.395,15.429,25398,0.99279326,48.88141645,-0.03367523,FALSE
38,2019,3,25,15.407,15.586,15.391,15.541,25369,1.00647626,53.25624951,-0.03711882,FALSE
39,2019,3,22,15.473,15.55,15.366,15.441,32995,0.99806089,49.50977946,-0.05237782,FALSE
40,2019,3,21,15.47,15.638,15.381,15.471,33014,0.99967692,50.64044137,-0.06091018,FALSE
41,2019,3,20,15.366,15.56,15.274,15.476,28370,1.00683105,50.8200557,-0.07396915,FALSE
42,2019,3,19,15.35,15.448,15.32,15.371,19335,1.00143332,47.16585147,-0.09007032,FALSE
43,2019,3,18,15.314,15.426,15.226,15.349,20538,1.00359618,46.39086832,-0.09862025,FALSE
44,2019,3,15,15.186,15.393,15.172,15.294,23279,1.0066478,44.50106091,-0.10585859,FALSE
45,2019,3,14,15.443,15.465,15.139,15.193,25530,0.98323842,40.95161292,-0.10795759,FALSE
