,Year,Month,Day,Open,High,Low,Close,Volumn,Return,RSI,CDMA,newColumn
38,2019,3,25,15.407,15.585999999999999,15.390999999999998,15.540999999999999,25369,1.00647626,53.25624951,-0.03711882,25.161906499999997
41,2019,3,20,15.366,15.56,15.274000000000001,15.475999999999999,28370,1.00683105,50.8200557,-0.07396915,20.136620999999998
42,2019,3,19,15.35,15.448,15.32,15.370999999999999,19335,1.00143332,47.16585147,-0.09007032,19.027233080000002
43,2019,3,18,15.314,15.425999999999998,15.225999999999999,15.349,20538,1.00359618,46.39086832,-0.09862025,18.06473124
44,2019,3,15,15.186,15.392999999999999,15.172,15.294,23279,1.0066478,44.50106091,-0.10585859,15.099717000000002
46,2019,3,13,15.431,15.538,15.425999999999998,15.452,21244,1.0007772,48.3084861,-0.09878273,13.010103599999999
47,2019,3,12,15.312000000000001,15.478,15.302999999999999,15.44,22843,1.00796449,47.90585439,-0.11200636,12.09557388
49,2019,3,8,15.022,15.372,15.01,15.34,29431,1.02089711,44.36073932,-0.12968222,8.16717688
52,2019,3,5,15.088,15.168,15.049000000000001,15.13,27413,1.00271721,34.48809577,-0.07544495,5.01358605
57,2019,2,26,15.885,15.939,15.794,15.937000000000001,24684,1.00264234,57.64673039,0.10416129,26.068700839999998
59,2019,2,22,15.8,15.979000000000001,15.8,15.921,25162,1.00682982,57.34765778,0.10726371,22.150256040000002
61,2019,2,20,15.991,16.217,15.963,16.061,31477,1.00400075,64.74375797,0.11570432,20.080015000000003
62,2019,2,19,15.817,16.007,15.745999999999999,15.997,25896,1.01182796,62.98715847,0.10010552,19.22473124
63,2019,2,18,15.787,15.86,15.765,15.81,12930,1.00152033,57.20166268,0.08525607,18.02736594
64,2019,2,15,15.626,15.807,15.562999999999999,15.786,23644,1.01069211,56.38926913,0.08410269,15.160381649999998
65,2019,2,14,15.565999999999999,15.690999999999999,15.494000000000002,15.619000000000002,28373,1.00314708,50.29278334,0.08385087,14.04405912
67,2019,2,12,15.707,15.832,15.67,15.706,19156,1.00012736,53.81645344,0.12259386,12.00152832
69,2019,2,8,15.735999999999999,15.869000000000002,15.662,15.829,20470,1.00571828,59.07333245,0.15286933,8.04574624
70,2019,2,7,15.671,15.758,15.647,15.739,22064,1.004147,56.16781377,0.15858494,7.0290289999999995
75,2019,1,31,16.099,16.189,15.997,16.067999999999998,29129,1.00012449,72.30270563,0.20714786,31.003859189999996
76,2019,1,30,15.844000000000001,16.105999999999998,15.823,16.066,31842,1.01407562,72.26325204,0.18689422,30.422268600000002
77,2019,1,29,15.745,15.919,15.722999999999999,15.843,24324,1.00488393,67.46490725,0.15852838,29.14163397
78,2019,1,28,15.755,15.82,15.607999999999999,15.765999999999998,22074,1.00120658,65.55429682,0.14272284,28.033784240000003
79,2019,1,25,15.325,15.753,15.294,15.747,27795,1.02800627,65.0844929,0.12831326,25.70015675
81,2019,1,23,15.327,15.436,15.272,15.36,25420,1.00136906,53.03242589,0.12868202,23.03148838
82,2019,1,22,15.258,15.352,15.184000000000001,15.339,24340,1.00445288,52.19381754,0.14639228,22.09796336
86,2019,1,16,15.585999999999999,15.648,15.497,15.593,24091,1.00089865,64.42601106,0.25422422,16.0143784
88,2019,1,14,15.606,15.664000000000001,15.547,15.636,28549,1.00243621,66.9120942,0.28370024,14.03410694
89,2019,1,11,15.593,15.74,15.559000000000001,15.597999999999999,32637,1.00212014,65.95987153,0.2934763,11.02332154
91,2019,1,9,15.667,15.777000000000001,15.585999999999999,15.747,36352,1.00600524,74.17619026,0.31988612,9.05404716
92,2019,1,8,15.675,15.69,15.505999999999998,15.652999999999999,31041,1.0004474,72.33848771,0.31499476,8.0035792
95,2019,1,3,15.529000000000002,15.754000000000001,15.489,15.735999999999999,50504,1.01378688,76.58317878,0.29165464,3.04136064
97,2019,1,1,15.527999999999999,15.527999999999999,15.527999999999999,15.527999999999999,1,1.00361944,73.41538331,0.24260174,1.00361944
98,2018,12,31,15.39,15.508,15.33,15.472000000000001,26041,1.00598179,72.497792,0.21343556,31.185435490000003
99,2018,12,28,15.23,15.398,15.224,15.38,35900,1.00925258,70.9691947,0.1788062,28.259072240000002
100,2018,12,27,15.037,15.272,14.944,15.239,44745,1.01356834,68.47564307,0.141373,27.36634518
101,2018,12,26,14.774000000000001,15.174000000000001,14.718,15.035,34712,1.01807963,64.36336642,0.10589466,26.470070379999996
102,2018,12,24,14.672,14.81,14.651,14.767999999999999,22850,1.00984683,57.64916296,0.07984202,24.236323920000004
104,2018,12,20,14.617,14.845,14.558,14.763,43110,1.01116438,58.7203934,0.07699288,20.223287600000003
107,2018,12,17,14.565,14.705,14.554,14.675,24658,1.00775992,56.45094682,0.06962801,17.131918640000002
109,2018,12,13,14.780999999999999,14.809000000000001,14.687000000000001,14.754000000000001,31915,1.00074612,60.61170551,0.0670551,13.009699560000001
110,2018,12,12,14.556,14.764000000000001,14.555,14.743,26729,1.01263823,60.30715338,0.05061973,12.15165876
111,2018,12,11,14.556,14.722000000000001,14.515,14.559000000000001,38915,1.00220279,54.88948086,0.03002593,11.02423069
113,2018,12,7,14.479000000000001,14.649000000000001,14.442,14.627,42286,1.01043106,57.6427176,0.01478138,7.073017419999999
116,2018,12,4,14.423,14.664000000000001,14.390999999999998,14.527999999999999,21638,1.01015158,54.88077865,-0.02947866,4.04060632
117,2018,12,3,14.243,14.567,14.21,14.382,22783,1.01460317,50.57292039,-0.05057912,3.04380951
120,2018,11,28,14.149000000000001,14.398,14.123,14.325,20036,1.01272534,48.08529711,-0.05775774,28.35630952
125,2018,11,21,14.334000000000001,14.558,14.283,14.497,18907,1.01228964,52.39429183,-0.05216335,21.258082440000003
127,2018,11,19,14.422,14.444,14.354000000000001,14.42,16300,1.00034686,49.84157967,-0.07272034,19.006590340000002
128,2018,11,16,14.276,14.425,14.24,14.415,21414,1.00874738,49.68613083,-0.08583973,16.13995808
129,2018,11,15,14.133,14.352,14.100999999999999,14.29,25051,1.01125186,45.78569779,-0.10082717,15.1687779
130,2018,11,14,14.002,14.198,13.9,14.130999999999998,24481,1.00906884,40.3212365,-0.10576274,14.12696376
135,2018,11,7,14.536,14.728,14.482000000000001,14.573,23939,1.00233854,50.09561609,0.0171673,7.01636978
138,2018,11,2,14.765,14.915,14.648,14.745,27920,1.00067866,55.51389696,0.02420305,2.00135732
139,2018,11,1,14.259,14.825,14.257,14.735,24715,1.03410766,55.25704109,0.01044449,1.03410766
141,2018,10,30,14.589,14.589,14.380999999999998,14.478,19706,1.00089872,46.6888552,0.02201591,30.026961599999996
143,2018,10,26,14.648,14.777000000000001,14.583,14.706,23672,1.0045082,55.42921921,0.05115907,26.117213200000002
146,2018,10,23,14.571,14.811,14.517999999999999,14.737,18271,1.01194809,57.05467671,0.04422953,23.27480607
148,2018,10,19,14.574000000000002,14.718,14.564,14.636,18445,1.00411636,54.0109121,0.03627233,19.07821084
152,2018,10,15,14.6,14.777000000000001,14.591,14.696,17725,1.00643747,56.39535384,0.0181782,15.096562050000001
153,2018,10,12,14.597000000000001,14.705,14.517000000000001,14.602,21897,1.00006849,53.72049069,0.0014469,12.00082188
154,2018,10,11,14.314,14.624,14.264000000000001,14.600999999999999,31273,1.02104895,53.69242936,-0.01035845,11.231538449999999
156,2018,10,9,14.4,14.444,14.272,14.387,18531,1.0010437,46.80656374,-0.01307035,9.009393300000001
158,2018,10,5,14.589,14.719000000000001,14.522,14.638,22558,1.00308367,54.74959856,0.00398321,5.015418350000001
161,2018,10,2,14.513,14.912,14.446,14.683,23182,1.01366931,56.38490865,-0.04398408,2.02733862
163,2018,9,28,14.235,14.720999999999998,14.225999999999999,14.647,23329,1.02822043,56.27934746,-0.0927214,28.790172039999998
166,2018,9,25,14.277000000000001,14.558,14.220999999999998,14.465,21459,1.01451817,50.25585239,-0.15062627,25.36295425
169,2018,9,20,14.259,14.356,14.185,14.32,20370,1.00540616,43.45078178,-0.21223859,20.108123199999998
170,2018,9,19,14.155999999999999,14.341,14.149000000000001,14.243,19486,1.00643019,40.10343433,-0.23547451,19.122173609999997
172,2018,9,17,14.072000000000001,14.251,14.043,14.172,18090,1.00803756,36.45921933,-0.26438424,17.136638519999998
175,2018,9,12,14.136,14.282,14.075,14.252,23055,1.00742207,35.79519329,-0.28344429,12.08906484
177,2018,9,10,14.147,14.252,14.079,14.177999999999999,18920,1.00035278,31.64802938,-0.29777611,10.0035278
178,2018,9,7,14.165999999999999,14.255999999999998,14.08,14.173,25574,1.00148389,31.43337303,-0.29844671,7.01038723
180,2018,9,5,14.169,14.235,14.095,14.19,18797,1.00211864,31.23392301,-0.28293331,5.0105932
185,2018,8,29,14.708,14.793,14.67,14.76,18719,1.00312627,41.37736388,-0.23180698,29.090661830000002
187,2018,8,27,14.85,14.921,14.751,14.897,17583,1.0053992,43.80981827,-0.24915092,27.1457784
188,2018,8,24,14.49,14.879000000000001,14.488,14.817,24451,1.02214404,41.54711962,-0.27196375,24.53145696
191,2018,8,21,14.752,14.849,14.722000000000001,14.796,18787,1.00230321,36.81014068,-0.27663627,21.04836741
193,2018,8,17,14.658,14.815,14.595999999999998,14.796,24383,1.00996587,36.28023883,-0.27810622,17.16941979
194,2018,8,16,14.468,14.835,14.338,14.65,32791,1.01447268,31.65797333,-0.27434534,16.23156288
196,2018,8,14,14.99,15.113,14.988,15.062999999999999,21146,1.00426695,34.55550972,-0.19556887,14.059737300000002
199,2018,8,9,15.433,15.513,15.369000000000002,15.442,17122,1.00103721,43.1458061,-0.16624826,9.00933489
200,2018,8,8,15.38,15.468,15.288,15.425999999999998,17262,1.00318658,42.49639674,-0.17936383,8.02549264
201,2018,8,7,15.304,15.492,15.296,15.377,16611,1.00549271,40.56583536,-0.19186603,7.038448969999999
203,2018,8,3,15.304,15.556,15.248,15.414000000000001,24588,1.00699027,40.24985402,-0.19901854,3.0209708099999997
206,2018,7,31,15.494000000000002,15.612,15.367,15.523,22324,1.00219511,41.28007492,-0.20495746,31.06804841
208,2018,7,27,15.388,15.539000000000001,15.33,15.501,21372,1.00701618,40.3037257,-0.22543243,27.189436859999997
210,2018,7,25,15.462,15.633,15.45,15.614,22780,1.00943884,41.50993611,-0.23125616,25.235971000000003
211,2018,7,24,15.392000000000001,15.599,15.33,15.468,21278,1.00546022,36.19754661,-0.24648534,24.131045280000002
213,2018,7,20,15.317,15.544,15.242,15.514000000000001,27124,1.0131261,35.54906993,-0.23658041,20.262522
219,2018,7,12,15.827,15.994000000000002,15.762,15.948,13748,1.00904777,41.00156213,-0.15313144,12.10857324
222,2018,7,9,16.045,16.218,16.035999999999998,16.11,11750,1.00348823,43.54198284,-0.14337903,9.031394070000001
223,2018,7,6,16.035999999999998,16.101,15.953,16.054000000000002,13568,1.00056092,41.36208505,-0.15176675,6.003365520000001
225,2018,7,4,16.049,16.153,15.997,16.078,11924,1.00355783,41.84800528,-0.15496791,4.01423132
226,2018,7,3,15.853,16.055999999999997,15.786,16.021,14750,1.01098,39.90789841,-0.1565904,3.03294
228,2018,6,29,16.003,16.167,15.968,16.095,17142,1.00543478,39.02619168,-0.12300187,29.15760862
233,2018,6,22,16.320999999999998,16.499000000000002,16.305999999999997,16.452,14099,1.00808824,46.5378847,-0.02810563,22.17794128
234,2018,6,21,16.285999999999998,16.362000000000002,16.199,16.32,14806,1.00227231,42.18088971,-0.02177088,21.04771851
239,2018,6,14,17.035999999999998,17.32,16.94,17.18,21413,1.00827513,69.14702956,0.12558527,14.11585182
240,2018,6,13,16.855,17.114,16.805,17.039,19685,1.0107967,65.85829113,0.09586334,13.1403571
242,2018,6,11,16.79,16.952,16.747,16.930999999999997,12940,1.00893868,64.41991688,0.05651321,11.09832548
243,2018,6,8,16.719,16.833,16.627,16.781,16728,1.00454954,60.01407044,0.02980749,8.03639632
