,Year,Month,Day,Open,High,Low,Close,Volumn,Return,RSI,CDMA
0,2019,5,16,14.8,14.824000000000002,14.527000000000001,14.572000000000001,19773,0.98492734,33.87643494,-0.10346194
1,2019,5,15,14.800999999999998,14.857000000000001,14.765,14.795,20048,0.99966216,42.46514334,-0.08936815
2,2019,5,14,14.765,14.859000000000002,14.741,14.8,20886,1.00189548,42.69048512,-0.09278491
